User country,Score,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Name,Stars,Rooms
USA,5,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,3,Business,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,5,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
UK,4,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Canada,4,Solo,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Canada,3,Couples,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
UK,4,Couples,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,4,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
India,4,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Canada,3,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,2,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Australia,3,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,2,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,3,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
UK,3,Friends,NO,YES,NO,NO,YES,YES,Circus Circus,a,3773
New Zeland,4,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Canada,1,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
USA,4,Families,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Canada,3,Couples,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
New Zeland,1,Couples,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
UK,4,Families,NO,na,NO,NO,YES,YES,Circus Circus,3,3773
USA,2,Couples,NO,YES,NO,NO,YES,YES,Circus Circus,3,3773
Ireland,4,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
USA,4,Business,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
UK,3,Business,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
USA,5,Solo,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Ireland,5,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Australia,3,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Canada,3,Solo,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Egypt,3,Friends,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Australia,4,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Finland,3,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Jordan,3,Business,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Canada,3,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Netherlands,3,Families,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Ireland,4,Friends,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
USA,4,Families,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
UK,4,Friends,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
UK,4,Couples,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
Syria,3,Solo,YES,YES,NO,YES,YES,YES,Excalibur,3,3981
UK,3,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,4,Solo,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,2,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Canada,3,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,4,Business,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Scotland,5,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
South Africa,2,Business,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Australia,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
UK,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Ireland,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Canada,4,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo,4,r
UK,4,Families,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
New Zeland,3,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
UK,3,Families,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
United Arab Emirates,3,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Ireland,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,3,Families,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
USA,2,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Hungary,4,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
China,1,Business,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Greece,2,Business,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Mexico,5,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo,4,3003
Croatia,3,Business,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Australia,4,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Canada,4,Friends,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,5,Solo,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,4,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Canada,4,Friends,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,4,Friends,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Australia,3,Families,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
India,3,Families,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Germany,4,Friends,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,3,Families,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Canada,4,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Australia,5,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Mexico,4,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
UK,4,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
UK,3,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,4,Business,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Australia,5,Families,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
USA,3,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Thailand,5,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Australia,4,Families,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Canada,4,Friends,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
Canada,5,Couples,YES,YES,YES,YES,YES,YES,Treasure Island,4,2884
UK,4,Families,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
USA,5,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
